position,target,model_id,model_type,minutes_threshold,alpha_model,alpha_current,n_features,final_test_r2,model_path
attacker,stat_goals_total_per90_next,attacker__stat_goals_total_per90_next,random_forest,900,0.85,0.15,30,0.3125900134581264,models/attacker__stat_goals_total_per90_next.pkl
attacker,stat_shots_total_total_per90_next,attacker__stat_shots_total_total_per90_next,lightgbm,1200,0.8,0.1999999999999999,15,0.4893633465339205,models/attacker__stat_shots_total_total_per90_next.pkl
attacker,stat_successful_dribbles_total_per90_next,attacker__stat_successful_dribbles_total_per90_next,random_forest,900,0.52,0.48,40,0.6453439257421697,models/attacker__stat_successful_dribbles_total_per90_next.pkl
defender,stat_aeriels_won_total_per90_next,defender__stat_aeriels_won_total_per90_next,random_forest,1200,0.7,0.3,20,0.69324424872349,models/defender__stat_aeriels_won_total_per90_next.pkl
defender,stat_blocked_shots_total_per90_next,defender__stat_blocked_shots_total_per90_next,random_forest,1200,0.95,0.05,15,0.4272301741579878,models/defender__stat_blocked_shots_total_per90_next.pkl
goalkeeper,stat_accurate_passes_percentage_total_next,goalkeeper__stat_accurate_passes_percentage_total_next,lightgbm,1200,0.47,0.53,10,0.5272855580003305,models/goalkeeper__stat_accurate_passes_percentage_total_next.pkl
goalkeeper,stat_cleansheets_total_next,goalkeeper__stat_cleansheets_total_next,random_forest,1200,0.96,0.04,15,0.3952336720350874,models/goalkeeper__stat_cleansheets_total_next.pkl
midfielder,stat_key_passes_total_per90_next,midfielder__stat_key_passes_total_per90_next,lightgbm,1200,0.84,0.16,20,0.6072889096048906,models/midfielder__stat_key_passes_total_per90_next.pkl
midfielder,stat_passes_total_per90_next,midfielder__stat_passes_total_per90_next,random_forest,1200,0.85,0.15,10,0.6484673421563539,models/midfielder__stat_passes_total_per90_next.pkl
midfielder,stat_tackles_total_per90_next,midfielder__stat_tackles_total_per90_next,random_forest,1200,0.92,0.0799999999999999,10,0.4892573853903635,models/midfielder__stat_tackles_total_per90_next.pkl
