target,stage1_pred_col,after_col,feature_set,features,model_type,trial,n_total,cv_mean_delta_r2,oof_delta_r2,baseline_after_mae,stage2_after_mae,after_mae_improvement,after_mae_improvement_pct,stage2_after_rmse,cv_mean_after_mae,params_json,source_fixed_stage2_after_mae
delta_stat_accurate_passes_percentage_total,stage1_pred_stat_accurate_passes_percentage_total_next,after_stat_accurate_passes_percentage_total,A_stage1_transfer,stage1_pred|transfer_path,xgboost,49,35,-0.7496257277146037,-0.0846957516233117,7.356005700673503,7.659063651408303,-0.3030579507348001,-0.0411987106952694,9.746043443589368,7.659063651408303,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.12024431425228842, ""max_depth"": 1, ""min_child_weight"": 8.0, ""n_estimators"": 200, ""reg_alpha"": 0.0002946820230129392, ""reg_lambda"": 0.3243347015988277, ""subsample"": 1.0}",8.371728482022483
delta_stat_aeriels_won_total_per90,stage1_pred_stat_aeriels_won_total_per90_next,after_stat_aeriels_won_total_per90,E_stage1_source_dest_age,stage1_pred|source_league|destination_league|player_age_before,random_forest,25,211,0.0739286170821894,0.0942959725452664,0.5393759674433461,0.4728350738955859,0.0665408935477602,0.123366441154517,0.6453664234797656,0.4725043351263728,"{""bootstrap"": true, ""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""min_samples_split"": 20, ""n_estimators"": 500}",0.4846952962920203
delta_stat_blocked_shots_total_per90,stage1_pred_stat_blocked_shots_total_per90_next,after_stat_blocked_shots_total_per90,A_stage1_transfer,stage1_pred|transfer_path,elasticnet,27,205,-0.003546397251366,0.0018055162534414,0.1700942889019215,0.1711660359730301,-0.0010717470711085,-0.0063008998010893,0.2291533462031998,0.1711660359730301,"{""alpha"": 0.03537311446058988, ""l1_ratio"": 0.2}",0.1722284072537482
delta_stat_cleansheets_total,stage1_pred_stat_cleansheets_total_next,after_stat_cleansheets_total,E_stage1_source_dest_age,stage1_pred|source_league|destination_league|player_age_before,random_forest,46,27,-2.7570968404221583,0.1670010077265427,3.648518518518518,2.447375982042638,1.20114253647588,0.3292137700218127,3.2743091120014776,2.441473939393929,"{""bootstrap"": false, ""max_depth"": 5, ""max_features"": 1.0, ""min_samples_leaf"": 5, ""min_samples_split"": 20, ""n_estimators"": 800}",2.805444816599039
delta_stat_goals_total_per90,stage1_pred_stat_goals_total_per90_next,after_stat_goals_total_per90,A_stage1_transfer,stage1_pred|transfer_path,random_forest,79,148,0.1046469778879976,0.1219726274050885,0.1636820251876998,0.123165418910232,0.0405166062774677,0.2475324106663878,0.1562836607144506,0.1229974923787322,"{""bootstrap"": false, ""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""n_estimators"": 200}",0.1251736365517472
delta_stat_key_passes_total_per90,stage1_pred_stat_key_passes_total_per90_next,after_stat_key_passes_total_per90,F_stage1_source_dest_minutes,stage1_pred|source_league|destination_league|before_stat_minutes_played_total_num,elasticnet,80,196,0.0630568897834824,0.0865993268455436,0.4670115961146855,0.3945200676979236,0.0724915284167619,0.1552242578553873,0.5157871109702504,0.3945957150687321,"{""alpha"": 0.12769264738716307, ""l1_ratio"": 0.05}",0.3978377346799895
delta_stat_passes_total_per90,stage1_pred_stat_passes_total_per90_next,after_stat_passes_total_per90,E_stage1_source_dest_age,stage1_pred|source_league|destination_league|player_age_before,random_forest,19,197,0.0017709610062853,0.0299911034912974,9.150557804701252,7.686708002772224,1.4638498019290287,0.1599738325435146,10.644193793002728,7.687495968338442,"{""bootstrap"": true, ""max_depth"": 8, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""min_samples_split"": 12, ""n_estimators"": 350}",7.919697814448335
delta_stat_shots_total_total_per90,stage1_pred_stat_shots_total_total_per90_next,after_stat_shots_total_total_per90,E_stage1_source_dest_age,stage1_pred|source_league|destination_league|player_age_before,ridge,53,173,0.070519124087676,0.0716237215368482,0.7281773753895574,0.5692383971268076,0.1589389782627498,0.2182695914957826,0.7122992012779237,0.5699128837675195,"{""alpha"": 124.27789591365169}",0.5792542216678563
delta_stat_successful_dribbles_total_per90,stage1_pred_stat_successful_dribbles_total_per90_next,after_stat_successful_dribbles_total_per90,E_stage1_source_dest_age,stage1_pred|source_league|destination_league|player_age_before,ridge,96,148,0.0263251297509609,0.0504001039287815,0.5443269483752453,0.540632157407251,0.0036947909679942,0.006787815629968,0.7359879488893533,0.5407215766875597,"{""alpha"": 43.99194366497704}",0.5538043728588393
delta_stat_tackles_total_per90,stage1_pred_stat_tackles_total_per90_next,after_stat_tackles_total_per90,D_stage1_source_dest_position,stage1_pred|source_league|destination_league|position_code,random_forest,76,197,0.0067649624363944,0.0358504136773928,0.5764632157139086,0.5626237081846439,0.0138395075292646,0.0240076160143634,0.7268825726521959,0.5629250982673628,"{""bootstrap"": false, ""max_depth"": 2, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 20, ""n_estimators"": 350}",0.5662982428407412
